organismal metagenomes	lung	1729361
organismal metagenomes	frog	1789662
organismal metagenomes	mouse gut	410661
organismal metagenomes	fish	496924
organismal metagenomes	chicken gut	506600
organismal metagenomes	human tracheal	1712573
organismal metagenomes	bovine	1218275
organismal metagenomes	snake	1204294
organismal metagenomes	pig	1176744
organismal metagenomes	insect	1234904
organismal metagenomes	plant	1297885
organismal metagenomes	oyster	1541066
organismal metagenomes	lichen	1653169
organismal metagenomes	human vaginal	1632839
organismal metagenomes	parasite	1642408
organismal metagenomes	blood	1676987
organismal metagenomes	ovine	1704043
organismal metagenomes	mite	1848041
organismal metagenomes	grain	1868704
organismal metagenomes	placenta	1327954
organismal metagenomes	sea squirt	1041057
organismal metagenomes	sponge	1163772
organismal metagenomes	sheep	1898966
organismal metagenomes	mouse	1441287
organismal metagenomes	sheep gut	1904483
organismal metagenomes	human blood	1504969
organismal metagenomes	respiratory tract	1850221
organismal metagenomes	annelid	1580551
organismal metagenomes	invertebrate	1711999
organismal metagenomes	sea anemone	1825923
organismal metagenomes	urogenital	1914523
organismal metagenomes	rat gut	1436733
organismal metagenomes	human oral	447426
organismal metagenomes	mouse skin	540485
organismal metagenomes	phyllosphere	662107
organismal metagenomes	shoot	1006967
organismal metagenomes	viral	1070528
organismal metagenomes	oral	1227552
organismal metagenomes	algae	1300146
organismal metagenomes	feline	1899496
organismal metagenomes	pollen	1628154
organismal metagenomes	seed	1335591
organismal metagenomes	rat	1427740
organismal metagenomes	mollusc	1417798
organismal metagenomes	human eye	1774142
organismal metagenomes	human reproductive system	1842734
organismal metagenomes	human semen	1837932
organismal metagenomes	mosquito	496923
organismal metagenomes	ant	1077528
organismal metagenomes	termite	1076140
organismal metagenomes	insect gut	1202446
organismal metagenomes	internal organ	1983761
organismal metagenomes	flower	1385665
organismal metagenomes	jellyfish	1549733
organismal metagenomes	human milk	1633571
organismal metagenomes	crab	1660082
organismal metagenomes	reproductive system	1966731
organismal metagenomes	human	646099
organismal metagenomes	gill	1455666
organismal metagenomes	stomach	1284369
organismal metagenomes	leaf	1297858
organismal metagenomes	pig gut	1510822
organismal metagenomes	shrimp gut	1588881
organismal metagenomes	fungus	1670606
organismal metagenomes	moss	1675540
organismal metagenomes	invertebrate gut	1775950
organismal metagenomes	bird	1833763
organismal metagenomes	ear	1870980
organismal metagenomes	epibiont	408171
organismal metagenomes	primate	1441288
organismal metagenomes	endophyte	483425
organismal metagenomes	gut	749906
organismal metagenomes	upper respiratory tract	1115523
organismal metagenomes	root	1118232
organismal metagenomes	zebrafish	1331678
organismal metagenomes	urine	1346744
organismal metagenomes	spider	1519372
organismal metagenomes	ctenophore	1508044
organismal metagenomes	scorpion gut	1571227
organismal metagenomes	liver	1685930
organismal metagenomes	eye	1830148
organismal metagenomes	termite gut	433724
organismal metagenomes	human lung	433733
organismal metagenomes	bovine gut	506599
organismal metagenomes	honeybee	910258
organismal metagenomes	Crustacea gut	1009879
organismal metagenomes	beetle	1077527
organismal metagenomes	human nasopharyngeal	1131769
organismal metagenomes	nematode	1130098
organismal metagenomes	skin	1338477
organismal metagenomes	human bile	1630596
organismal metagenomes	seagrass	1904484
organismal metagenomes	rodent	1521111
organismal metagenomes	vaginal	1549736
organismal metagenomes	tick	1595979
organismal metagenomes	gonad	1685929
organismal metagenomes	crustacean	1681198
organismal metagenomes	cetacean	1822005
organismal metagenomes	feces	1861841
