.1.1.1.100	01100
1	01100
1.-.-.-	00121 00231 00520 00592 00633 00860 00906 00950 00981 01100
1.1.-.-	00361 00363 00624 00626 00632 00642 00830 00903 01100
1.1.1.-	00051 00053 00260 00363 00520 00523 00591 00625 00632 00650 00830 00950 00966 00981 01040 01057 01063 01100
1.1.1.1	00010 00071 00260 00350 00624 00641 00830 00980 00982 01100
1.1.1.10	00040 01100
1.1.1.100	00061 01040 01100
1.1.1.101	00564 00565 01100
1.1.1.102	00600 01100
1.1.1.103	00260
1.1.1.104	00330
1.1.1.106	00770
1.1.1.107	00750
1.1.1.11	00040 00051
1.1.1.110	00380
1.1.1.12	00040 01100
1.1.1.120	00052
1.1.1.122	00053 01100
1.1.1.125	00040
1.1.1.127	00040
1.1.1.129	00053
1.1.1.13	00040
1.1.1.130	00040 00053
1.1.1.132	00051 00520
1.1.1.133	00521 00523
1.1.1.135	00051 00520
1.1.1.136	00520
1.1.1.137	00040
1.1.1.138	00051
1.1.1.14	00051 01100
1.1.1.140	00051
1.1.1.144	00903
1.1.1.145	00140 00150 01062 01070 01100
1.1.1.146	00140 00150 01100
1.1.1.148	00150
1.1.1.149	00140
1.1.1.15	00040 00051 01100
1.1.1.152	00150
1.1.1.153	00790 01100
1.1.1.154	00230
1.1.1.156	00561 01100
1.1.1.157	00632 00650 01100
1.1.1.158	00520 00550 01100
1.1.1.16	00052
1.1.1.169	00770 01100
1.1.1.17	00051
1.1.1.170	00100 01066 01100
1.1.1.173	00051
1.1.1.174	00930
1.1.1.175	00040 01100
1.1.1.178	00280
1.1.1.18	00521 00562 01100
1.1.1.181	00120 01100
1.1.1.183	00281
1.1.1.184	00590 01100
1.1.1.187	00051 00520
1.1.1.188	00590
1.1.1.189	00590 01100
1.1.1.19	00040 00053 01100
1.1.1.190	00380
1.1.1.191	00380
1.1.1.192	00071
1.1.1.193	00740 01100
1.1.1.195	00940 01061 01100
1.1.1.196	00590
1.1.1.2	00010 00561 00930 01100
1.1.1.20	00053
1.1.1.202	00561
1.1.1.205	00230 00983 01065 01100
1.1.1.206	00960 01064 01100
1.1.1.207	00902
1.1.1.208	00902
1.1.1.21	00040 00051 00052 00561 00620 01100
1.1.1.211	00062 00071 01040 01070 01100
1.1.1.215	00030 01100
1.1.1.216	00909
1.1.1.218	00950 01063
1.1.1.219	00941 01061 01100
1.1.1.22	00040 00053 00500 00520 01100
1.1.1.220	00790 01100
1.1.1.222	00350 00360 01064
1.1.1.223	00902
1.1.1.23	00340 01065 01100
1.1.1.232	00590
1.1.1.234	00941
1.1.1.236	00960 01100
1.1.1.237	00130 00350 00360 01064
1.1.1.239	00150 01100
1.1.1.24	00400
1.1.1.241	00902
1.1.1.243	00902 00903
1.1.1.244	00680
1.1.1.245	00930
1.1.1.246	00943 01061
1.1.1.247	00950 01063 01100
1.1.1.248	00950 01063 01100
1.1.1.25	00400 01061 01063 01070 01100
1.1.1.251	00052
1.1.1.256	00628 01100
1.1.1.257	00623
1.1.1.258	00930
1.1.1.259	00632
1.1.1.26	00630 01100
1.1.1.262	00750 01100
1.1.1.266	00523
1.1.1.267	00900 01062 01066 01070 01100
1.1.1.27	00010 00270 00620 00640 01100
1.1.1.270	00100 01066 01100
1.1.1.271	00051 00520 01100
1.1.1.272	00270
1.1.1.273	00901
1.1.1.275	00902 00903
1.1.1.28	00620
1.1.1.281	00051 00520
1.1.1.282	00400 01061 01100
1.1.1.284	00680
1.1.1.288	00906 01062 01070 01100
1.1.1.29	00260 00630 01100
1.1.1.290	00750 01100
1.1.1.291	00760
1.1.1.3	00260 00270 00300 01070 01100
1.1.1.30	00072 00650 01100
1.1.1.31	00280 01100
1.1.1.34	00900 01062 01066 01070 01100
1.1.1.35	00062 00071 00120 00280 00281 00310 00380 00632 00650 00930 01070 01100
1.1.1.36	00650
1.1.1.37	00020 00620 00630 00710 00720 01061 01062 01063 01064 01065 01066 01070 01100
1.1.1.38	00620 01061 01062 01066
1.1.1.39	00620 00710 01062 01063 01064 01065 01066 01100
1.1.1.4	00650
1.1.1.40	00620 00710 01062 01063 01064 01065 01066 01100
1.1.1.41	00020 01062 01063 01064 01065 01066 01070 01100
1.1.1.42	00020 00480 00720 01061 01062 01063 01064 01065 01066 01070 01100
1.1.1.43	00030 00480 01100
1.1.1.44	00030 00480 01065 01070 01100
1.1.1.45	00040 01100
1.1.1.46	00053
1.1.1.47	00030
1.1.1.48	00052
1.1.1.49	00030 00480 01065 01070 01100
1.1.1.5	00650
1.1.1.50	00120 00140 00150 01100
1.1.1.51	00150 01100
1.1.1.53	00140 01100
1.1.1.56	00040 01100
1.1.1.57	00040 01100
1.1.1.58	00040 01100
1.1.1.59	00410 00640 01100
1.1.1.6	00561 01100
1.1.1.60	00630 01100
1.1.1.61	00650
1.1.1.62	00150 01100
1.1.1.63	00150 01100
1.1.1.64	00150 01100
1.1.1.65	00750 01100
1.1.1.67	00051
1.1.1.72	00561
1.1.1.75	00260
1.1.1.76	00650
1.1.1.77	00620 00630
1.1.1.78	00620
1.1.1.79	00620 00630 01100
1.1.1.8	00564
1.1.1.80	00640
1.1.1.81	00260 00630 01100
1.1.1.82	00620 00710 01100
1.1.1.83	00650
1.1.1.84	00770
1.1.1.85	00290 01065 01100
1.1.1.86	00290 00770 01065 01100
1.1.1.87	00300 01100
1.1.1.88	00900
1.1.1.9	00040 01100
1.1.1.90	00350 00360 00621 00622 00930 01100
1.1.1.92	00630
1.1.1.93	00630
1.1.1.94	00564
1.1.1.95	00260 01100
1.1.1.97	00622
1.1.129	01100
1.1.2.2	00040 00051
1.1.2.3	00620 01100
1.1.2.4	00620
1.1.2.5	00620
1.1.3.-	00363
1.1.3.12	00750
1.1.3.13	00680 01100
1.1.3.15	00630 01100
1.1.3.16	00981
1.1.3.17	00260
1.1.3.21	00564
1.1.3.23	00730
1.1.3.3	00620
1.1.3.38	00623
1.1.3.4	00030 01100
1.1.3.5	00030 01100
1.1.3.6	00100
1.1.3.8	00053 01100
1.1.3.9	00052
1.1.5.2	00030 01100
1.1.5.3	00564
1.1.99.-	00362 00440 00903
1.1.99.1	00260
1.1.99.10	00030 01100
1.1.99.13	00500
1.1.99.14	00630 01100
1.1.99.16	00620
1.1.99.2	00650
1.1.99.20	00071
1.1.99.21	00051
1.1.99.25	00400 01061 01100
1.1.99.3	00030 01100
1.1.99.7	00620 01100
1.1.99.8	00010 00631 00640 00650 00680 01100
1.1.99.9	00750
1.10.2.-	01100
1.10.2.2	00190 01100
1.10.3.-	00965 01100
1.10.3.1	00350 00950 01100
1.10.3.3	00053 01100
1.10.3.4	00380
1.10.99.1	00195
1.10.99.3	00906 01100
1.11.1.-	00480
1.11.1.11	00053 00480
1.11.1.12	00480
1.11.1.15	00480 01100
1.11.1.6	00380 00680 01100
1.11.1.7	00360 00680 00940 01061 01100
1.11.1.8	00350 01100
1.11.1.9	00480 00590
1.12.1.2	00630 00680
1.12.7.2	00630 00680
1.12.98.1	00790 01100
1.12.99.6	00633
1.13.-.-	00363 00624 01100
1.13.11-	00361
1.13.11.-	00351 00362 00380 00590 00621 00623 00626 00628 00643 00965 01100
1.13.11.1	00361 00362 00364 00622 00627 00629 01100
1.13.11.10	00380
1.13.11.11	00380 01100
1.13.11.12	00591 00592 01070 01100
1.13.11.13	00053
1.13.11.14	00362
1.13.11.15	00350
1.13.11.16	00360
1.13.11.17	00380
1.13.11.18	00920
1.13.11.19	00430 01100
1.13.11.2	00362 00622 00627 00629 00643 01100
1.13.11.20	00270 00430 01100
1.13.11.22	00940
1.13.11.23	00380
1.13.11.27	00130 00350 00360 01100
1.13.11.29	00350
1.13.11.3	00362 00623 01100
1.13.11.30	00350
1.13.11.31	00590
1.13.11.32	00910
1.13.11.33	00590 00591 01100
1.13.11.34	00590 01100
1.13.11.37	00362 00627 01100
1.13.11.38	00626
1.13.11.39	00361 00621 01100
1.13.11.4	00350 01100
1.13.11.40	00590
1.13.11.41	00363
1.13.11.44	00591
1.13.11.45	00591
1.13.11.5	00350 00643 01100
1.13.11.51	00906 01062 01070 01100
1.13.11.52	00380 01100
1.13.11.53	00270 01100
1.13.11.54	00270
1.13.11.6	00380 01100
1.13.11.8	00362 00623
1.13.11.9	00760
1.13.12.-	00232 00350 00910 01100
1.13.12.1	00330
