 D00596	07222
 D00945	07222
 D01208	07222
 D07724	07222
C00001	00190 00195 00710 00740 01100 05014
C00002	00190 00195 00230 00231 00908 01100 03070 04020 04080 04142 04144 04930 05012 05410
C00003	00190 00760 01100
C00004	00190 01100 04020
C00005	00195 00480 01100
C00006	00195 00480 00760 01100
C00007	00190 00195 00740 01100 02020 05211
C00008	00190 00195 00230 00908 01100 04080 04142 04144 05012
C00009	00190 00195 00550 01100 02010 02020 04111 05012
C00010	00071 00770 01100
C00011	00230 00260 00330 00460 00630 00680 00710 00720 00790 00791 00910 01100
C00012	00330 02010
C00013	00190 05012
C00014	00230 00250 00260 00330 00460 00910 01100 05110 05120
C00015	00240 00908 01100 04080
C00016	00740 01100
C00017	00290 00450
C00018	00750 01100
C00019	00270 00330 00908 01060 01070 01100
C00020	00230 00908 01060 01065 01070 01100 04150 05012
C00021	00270 01100
C00022	00010 00020 00030 00040 00053 00250 00260 00270 00290 00330 00350 00360 00362 00430 00473 00620 00621 00622 00626 00627 00628 00629 00630 00642 00643 00650 00660 00710 00720 00730 00750 00760 00770 00900 01060 01061 01062 01063 01064 01065 01066 01070 01100 02060 04930
C00023	02020
C00024	00010 00020 00061 00062 00071 00072 00253 00280 00290 00300 00310 00362 00380 00410 00430 00480 00522 00562 00620 00625 00630 00632 00640 00642 00650 00680 00720 00900 01056 01060 01061 01062 01063 01064 01065 01066 01070 01100
C00025	00250 00330 00340 00471 00480 00650 00660 00860 00910 00970 01060 01064 01100 02010 04080 04540 04720 04730 04742 05014 05016
C00026	00020 00053 00250 00300 00340 00471 00630 00650 00660 00720 00750 01060 01061 01062 01063 01064 01065 01066 01070 01100
C00027	04670 04940 05010 05012 05014 05020 05322
C00029	00040 00052 00053 00240 00500 00520 00561 00908 01051 01060 01100
C00031	00010 00030 00052 00500 00520 00521 00901 01100 02010 02020 04113 04910 04930
C00032	00860 01060 01100 02010
C00033	00010 00430 00440 00450 00534 00620 00622 00660 00720 00908 00920 01100 05012
C00034	00195 01100 02010 02020
C00035	00230 01100
C00036	00010 00020 00250 00362 00620 00630 00710 00720 01060 01061 01062 01063 01064 01065 01066 01070 01100 02020
C00037	00120 00230 00260 00310 00460 00480 00680 00730 00860 00910 00970 01060 01100 02010 04080
C00038	02010 02020
C00039	00230 00240 00312 01100
C00040	00561 00564 04920
C00041	00250 00270 00430 00450 00473 00710 00720 00970 01060 01100 02010
C00042	00020 00190 00250 00350 00360 00361 00630 00632 00640 00650 00720 01060 01061 01062 01063 01064 01065 01066 01070 01100 02020
C00043	00520 00540 00550 01100
C00044	00230 00740 00790 01100
C00046	00230 00240 01100
C00047	00300 00310 00780 00960 00970 01060 01064 01100 02010
C00048	00230 00232 00260 00330 00627 00630 00660 01100
C00049	00250 00260 00270 00300 00330 00340 00410 00460 00710 00760 00770 00910 00970 01060 01064 01070 01100 02010 02020 02030 04080
C00051	00270 00480 01100
C00052	00052 00520 01100
C00053	00230 00534 00920
C00054	00230 00534 00770 00920
C00055	00240 01100
C00058	00620 00630 00680 00910 01100
C00059	00230 00270 00920 01100 02010
C00060	00460 01100
C00061	00190 00740 01100
C00062	00330 00331 00472 00970 01060 01064 01100 02010 05014
C00063	00240 01100
C00064	00230 00240 00250 00330 00471 00910 00970 01060 01100 02010 02020
C00065	00260 00270 00460 00600 00680 00920 00970 01060 01100 02010
C00066	00908
C00067	00680 01100
C00068	00010 00020 00280 00620 00650 00730 01100
C00070	02020 05010 05014
C00071	00071
C00072	00053 00480 01100 02060
C00073	00270 00966 00970 01060 01070 01100
C00074	00010 00020 00400 00440 00620 00710 00720 01060 01061 01062 01063 01070 01100 02060
C00075	00240 01100 04080
C00076	04010 04012 04020 04062 04070 04114 04260 04270 04310 04360 04370 04540 04650 04660 04662 04664 04666 04670 04720 04722 04730 04740 04742 04912 04916 04930 05010 05014 05016 05200 05214 05223 05410 05412 05414
C00077	00330 00472 00480 01060 01064 01100 02010
C00078	00260 00380 00400 00901 00966 00970 01060 01061 01063 01070 01100
C00079	00360 00400 00940 00960 00966 00970 01060 01061 01063 01064 01070 01100 02010
C00080	00190 00195 00630 00680 01100 04260 04742 05110 05120
C00081	00230
C00082	00130 00231 00350 00360 00400 00401 00460 00730 00940 00950 00965 00966 00970 01055 01060 01063 01100 04916 05012
C00083	00061 00253 00410 00522 00620 00640 01055 01056 01060 01066 01070 01100 04920
C00084	00010 00360 00362 00440 00564 00620 00621 00622 00625 00627 00628 00629 00641 00642 00643 01100
C00085	00040 00680 00710 01100
C00086	00230 00240 00330 00791 01100 02010 05120
C00087	00920
C00088	00910 02020
C00089	00052 00500 01100 02010 02060 04742
C00090	00362 00364 00626 00628 00629 00632 01100
C00091	00020 00280 00362 00624 00632 00640 00720 01060 01061 01063 01064 01065 01066 01070 01100
C00092	00500 00521 00562 01062 01100 02020 02060
C00093	00561 00564 01100 02010
C00094	00270 00430 00920 01100
C00095	00051 00052 00500 01100 02010 02060
C00096	00051 00053 00510 00520 01100
C00097	00260 00270 00311 00430 00480 00730 00770 00920 00970 01060 01100
C00099	00240 00410 00640 00770 01100 04080
C00100	00280 00410 00522 00640 00660 01056 01100
C00101	00260 00670 00790 00970 01100
C00103	00010 00040 00052 00500 00520 00521 00523 01060 01100
C00104	00230
C00105	00240 00550 01100
C00106	00240 00410 00770 01100
C00107	02010 02030
C00108	00362 00380 00400 00629 00632 01058 01060 01061 01063 01070 01100 07110
C00109	00260 00270 00290 00640 00660 01100
C00110	00510 01100
C00111	00010 00040 00051 00052 00561 00562 00564 00620 00710 00760 01100
C00112	00240 01100
C00114	00260 00564 01100 02010
C00116	00052 00561 01100
C00117	00030 00230 00710 01100
C00118	00010 00030 00040 00051 00052 00331 00562 00680 00710 00730 00750 00900 01060 01061 01062 01063 01064 01065 01066 01070 01100
C00119	00030 00230 00240 00340 00400 01060 01065 01070 01100
C00120	00780 01100
C00121	00030 02010 02030
C00122	00020 00190 00250 00330 00350 00360 00632 00643 00650 00720 00760 01060 01061 01062 01063 01064 01065 01066 01070 01100 02020 05200 05211
C00123	00280 00290 00966 00970 01060 01065 01100 02010
C00124	00052 00520 01100 02030
C00127	00480
C00128	00520 01100
C00129	00900 01060 01062 01070 01100
C00130	00230 01060 01065 01070 01100 04742
C00131	00230 01100
C00132	00680 00901 01100
C00133	00473 00550 00750 01100
C00134	00330 00480 00960 01060 01064 01100 02010
C00135	00340 00410 00970 01060 01065 01100 02010
C00136	00062 00071 00630 00650 01056 01100
C00137	00052 00053 00521 00562 01100 04070
C00138	00720
